location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Brazil,BRA,2021-01-16,0,0,,,,0,0,,
Brazil,BRA,2021-01-17,112,112,,112,112,0,0,,1
Brazil,BRA,2021-01-18,1109,1109,,997,554,0,0,,3
Brazil,BRA,2021-01-19,11470,11470,,10361,3823,0.01,0.01,,18
Brazil,BRA,2021-01-20,28543,28543,,17073,7136,0.01,0.01,,34
Brazil,BRA,2021-01-21,136519,136519,,107976,27304,0.06,0.06,,128
Brazil,BRA,2021-01-22,245877,245877,,109358,40980,0.12,0.12,,193
Brazil,BRA,2021-01-23,537774,537774,,291897,76825,0.25,0.25,,361
Brazil,BRA,2021-01-24,604722,604722,,66948,86373,0.28,0.28,,406
Brazil,BRA,2021-01-25,700608,700608,,95886,99928,0.33,0.33,,470
Brazil,BRA,2021-01-26,848883,848883,,148275,119630,0.4,0.4,,563
Brazil,BRA,2021-01-27,1129885,1129885,,281002,157335,0.53,0.53,,740
Brazil,BRA,2021-01-28,1450900,1450900,,321015,187769,0.68,0.68,,883
Brazil,BRA,2021-01-29,1668032,1656851,,217132,203165,0.78,0.78,,956
Brazil,BRA,2021-01-30,2003211,1923813,,335179,209348,0.94,0.91,,985
Brazil,BRA,2021-01-31,2074059,2046523,,70848,209905,0.98,0.96,,988
Brazil,BRA,2021-02-01,2124307,2107624,,50248,203386,1,0.99,,957
Brazil,BRA,2021-02-02,2292551,2292551,,168244,206238,1.08,1.08,,970
Brazil,BRA,2021-02-03,2521704,2521704,,229153,198831,1.19,1.19,,935
Brazil,BRA,2021-02-04,3073057,3073057,,551353,231737,1.45,1.45,,1090
Brazil,BRA,2021-02-05,3074906,3074906,,1849,200982,1.45,1.45,,946
Brazil,BRA,2021-02-06,3401383,3399421,1962,326477,199739,1.6,1.6,0,940
Brazil,BRA,2021-02-07,3553681,3534004,19677,152298,211375,1.67,1.66,0.01,994
Brazil,BRA,2021-02-08,3605538,3579850,25688,51857,211604,1.7,1.68,0.01,996
Brazil,BRA,2021-02-09,3820207,3786591,33616,214669,218237,1.8,1.78,0.02,1027
Brazil,BRA,2021-02-10,4120332,4069677,50655,300125,228375,1.94,1.91,0.02,1074
Brazil,BRA,2021-02-11,4406835,4326075,80760,286503,190540,2.07,2.04,0.04,896
Brazil,BRA,2021-02-12,4696136,4586270,109866,289301,231604,2.21,2.16,0.05,1090
Brazil,BRA,2021-02-13,5125206,4946738,178468,429070,246260,2.41,2.33,0.08,1159
Brazil,BRA,2021-02-14,5236943,5042713,194230,111737,240466,2.46,2.37,0.09,1131
Brazil,BRA,2021-02-15,5293979,5076110,217869,57036,241206,2.49,2.39,0.1,1135
Brazil,BRA,2021-02-16,5609937,5324317,285620,315958,255676,2.64,2.5,0.13,1203
Brazil,BRA,2021-02-17,5883539,5326007,557532,273602,251887,2.77,2.51,0.26,1185
Brazil,BRA,2021-02-18,6206680,5482925,723755,323141,257121,2.92,2.58,0.34,1210
Brazil,BRA,2021-02-19,6535156,5640483,894673,328476,262717,3.07,2.65,0.42,1236
Brazil,BRA,2021-02-20,6813168,5756361,1056807,278012,241137,3.21,2.71,0.5,1134
Brazil,BRA,2021-02-21,6950802,5817908,1132894,137634,244837,3.27,2.74,0.53,1152
Brazil,BRA,2021-02-22,7028356,5857080,1171276,77554,247768,3.31,2.76,0.55,1166
Brazil,BRA,2021-02-23,7297061,6002873,1294188,268705,241018,3.43,2.82,0.61,1134
Brazil,BRA,2021-02-24,7551676,6116082,1435594,254615,238305,3.55,2.88,0.68,1121
Brazil,BRA,2021-02-25,7799000,6202055,1596945,247324,227474,3.67,2.92,0.75,1070
